Restaurant Name,Match Score,Has App?,App Name Found,Location Link
Raees Shinwari Restaurant,69,FALSE,N/A,https://www.google.com/maps/place/Raees+Shinwari+Restaurant/data=!4m7!3m6!1s0x38df949b1fa511e5:0xea0456bb19df350!8m2!3d33.6001396!4d73.0539742!16s%2Fg%2F12mkzjx65!19sChIJ5RGlH5uU3zgRUPOdsWtFoA4?authuser=0&hl=en&rclk=1
Aseel Shinwari Restaurant,69,FALSE,N/A,https://www.google.com/maps/place/Aseel+Shinwari+Restaurant/data=!4m7!3m6!1s0x38df949bbf867305:0x7198bfdf018b7732!8m2!3d33.5993967!4d73.0566767!16s%2Fg%2F11csrpxbj5!19sChIJBXOGv5uU3zgRMneLAd-_mHE?authuser=0&hl=en&rclk=1
Corner Foods,67,FALSE,N/A,https://www.google.com/maps/place/Corner+Foods/data=!4m7!3m6!1s0x38df949ad1c8b59f:0x44f364e92358874e!8m2!3d33.6005943!4d73.0527885!16s%2Fg%2F1thf6ynh!19sChIJn7XI0ZqU3zgRTodYI-lk80Q?authuser=0&hl=en&rclk=1
Dope Saddar,67,FALSE,N/A,https://www.google.com/maps/place/Dope+Saddar/data=!4m7!3m6!1s0x38df95007da75b33:0x95e9d17dbead9d2a!8m2!3d33.5986444!4d73.0490814!16s%2Fg%2F11lf3l7c47!19sChIJM1unfQCV3zgRKp2tvn3R6ZU?authuser=0&hl=en&rclk=1
Mr. Cook,67,FALSE,N/A,https://www.google.com/maps/place/Mr.+Cook/data=!4m7!3m6!1s0x38df95789862e67f:0x903ffefc5ec4e192!8m2!3d33.6009241!4d73.0002088!16s%2Fg%2F11h3nymztt!19sChIJf-ZimHiV3zgRkuHEXvz-P5A?authuser=0&hl=en&rclk=1
Dilbar Hotel,67,FALSE,N/A,https://www.google.com/maps/place/Dilbar+Hotel/data=!4m7!3m6!1s0x38df94ecf61ef183:0xd4842b9af5bd146a!8m2!3d33.6168737!4d73.0563839!16s%2Fg%2F11hcyvdw70!19sChIJg_Ee9uyU3zgRahS99ZorhNQ?authuser=0&hl=en&rclk=1
Kartarpura Street Food,67,FALSE,N/A,https://www.google.com/maps/place/Kartarpura+Street+Food/data=!4m7!3m6!1s0x38df951204c7cff9:0xcee74c36663458b3!8m2!3d33.6231161!4d73.0624734!16s%2Fg%2F11rz1ll5pl!19sChIJ-c_HBBKV3zgRs1g0ZjZM584?authuser=0&hl=en&rclk=1
Purana Shinwari Restaurant,65,FALSE,N/A,https://www.google.com/maps/place/Purana+Shinwari+Restaurant/data=!4m7!3m6!1s0x38df949bbe47541b:0x51ad657c0df5f210!8m2!3d33.5993124!4d73.0565869!16s%2Fg%2F1tgm16x_!19sChIJG1RHvpuU3zgREPL1DXxlrVE?authuser=0&hl=en&rclk=1
Tabarak Hotel& Restaurant & BBQ,64,FALSE,N/A,https://www.google.com/maps/place/Tabarak+Hotel%26+Restaurant+%26+BBQ/data=!4m7!3m6!1s0x38df949ba515d9ff:0xd147afb892bd9026!8m2!3d33.5997608!4d73.0557179!16s%2Fg%2F12mkzjr6q!19sChIJ_9kVpZuU3zgRJpC9krivR9E?authuser=0&hl=en&rclk=1
Fresco Sweets,64,FALSE,N/A,https://www.google.com/maps/place/Fresco+Sweets/data=!4m7!3m6!1s0x38df9483a19bb02d:0xa42a0109b94abe8f!8m2!3d33.5953116!4d73.0490415!16s%2Fg%2F12mkz7jvs!19sChIJLbCboYOU3zgRj75KuQkBKqQ?authuser=0&hl=en&rclk=1
Mei Kong,62,FALSE,N/A,https://www.google.com/maps/place/Mei+Kong/data=!4m7!3m6!1s0x38df94847f2a33ed:0x455c8e4c3a8c8136!8m2!3d33.5971054!4d73.0487284!16s%2Fg%2F11xdltd04!19sChIJ7TMqf4SU3zgRNoGMOkyOXEU?authuser=0&hl=en&rclk=1
Data Kabana,59,FALSE,N/A,https://www.google.com/maps/place/Data+Kabana/data=!4m7!3m6!1s0x38df948366518aff:0xf29e95e13de5431a!8m2!3d33.5963849!4d73.0504629!16s%2Fg%2F11zrrb8d3!19sChIJ_4pRZoOU3zgRGkPlPeGVnvI?authuser=0&hl=en&rclk=1
Saffron Foodies,57,FALSE,N/A,https://www.google.com/maps/place/Saffron+Foodies/data=!4m7!3m6!1s0x38df95209a7d563f:0x97f7b42c71db5bc3!8m2!3d33.6381307!4d73.0682772!16s%2Fg%2F11c30vmh9h!19sChIJP1Z9miCV3zgRw1vbcSy095c?authuser=0&hl=en&rclk=1
ASMA & Sons Home Made Food Rawalpindi,57,FALSE,N/A,https://www.google.com/maps/place/ASMA+%26+Sons+Home+Made+Food+Rawalpindi/data=!4m7!3m6!1s0x38df9505be1dfb03:0x3e2c53ae77b571af!8m2!3d33.5926455!4d73.046062!16s%2Fg%2F11l2vgdbt3!19sChIJA_sdvgWV3zgRr3G1d65TLD4?authuser=0&hl=en&rclk=1
Quetta Pakistan Muslim Cafe,57,FALSE,N/A,https://www.google.com/maps/place/Quetta+Pakistan+Muslim+Cafe/data=!4m7!3m6!1s0x38df95b02c3c1777:0xd3f80b86544cd429!8m2!3d33.603818!4d73.0069171!16s%2Fg%2F11gzp1v6g6!19sChIJdxc8LLCV3zgRKdRMVIYL-NM?authuser=0&hl=en&rclk=1
New Abbasi Hotel & Restaurant,56,FALSE,N/A,https://www.google.com/maps/place/New+Abbasi+Hotel+%26+Restaurant/data=!4m7!3m6!1s0x38df948369424653:0x2586ec87514cf00d!8m2!3d33.5960615!4d73.0506329!16s%2Fg%2F11yk0p3tv!19sChIJU0ZCaYOU3zgRDfBMUYfshiU?authuser=0&hl=en&rclk=1
